Front,Back,Tags
Q1: Concurrency vs parallelism?,"Concurrency is <i>structuring</i> a program so multiple tasks can be in progress (overlapping in time). Parallelism is <i>executing</i> them literally simultaneously on multiple cores. Concurrent code may or may not be parallel; parallel code is necessarily concurrent. Python <code>threading</code> is concurrency without parallelism (for Python code) due to the GIL; <code>multiprocessing</code> gives both.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q2: Why doesn't threading speed up CPU-bound Python?,"The GIL serializes Python bytecode execution. Two threads doing pure Python compute fight for the GIL — only one runs at a time. Net result: same throughput as single-threaded plus context-switch overhead. For CPU work, use <code>multiprocessing</code>, NumPy/C extensions (which release the GIL), or wait for free-threading Python (PEP 703, in progress).<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q3: When is asyncio faster than threads?,"Two scenarios: (1) Very high concurrency (10k+ tasks) — coroutines are cheap, threads aren't. (2) Tight, switch-heavy I/O — async context switches are µs, kernel thread switches are ms. For modest concurrency (say 50 calls), the difference is small; pick by code style.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q4: How would you fix code that blocks the event loop?,"Identify the blocking call (sync HTTP, file I/O, big compute). Then either: replace with the async version (<code>httpx</code> instead of <code>requests</code>), wrap in <code>asyncio.to_thread</code> (offloads to a worker thread), or move CPU work to a <code>ProcessPoolExecutor</code> via <code>loop.run_in_executor</code>.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q5: What's a race condition? Give an example.,"Two or more concurrent operations whose interleaving determines the outcome — and the interleaving isn't controlled. Classic: two threads each read <code>counter</code>, both add 1, both write — counter went up by 1 instead of 2. Fix with a lock around the read-modify-write, or use atomic primitives, or design out shared mutable state.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q6: How do you cancel an asyncio task safely?,"Call <code>task.cancel()</code> — this raises <code>CancelledError</code> inside the task at its next <code>await</code>. Always handle it in <code>try/except</code> to clean up resources, then re-raise. Use <code>asyncio.shield(task)</code> to protect critical work from cancellation. Always <code>await task</code> after cancellation to actually wait for cleanup.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q7: Will Python ever remove the GIL?,"Work in progress. PEP 703 (Free-threaded CPython) is being rolled out (3.13 has experimental support, becoming default later). For now, the GIL is here. Workarounds: multiprocessing, async, GIL-releasing C extensions.<br><br><i>Source: Async, Concurrency &amp; Threading</i>",phase-1 async concurrency threading fundamentals topic-async-concurrency diff-hard
Q1: What problem does DI solve?,"Tight coupling between a class and its dependencies. Without DI, classes construct their own deps — making them un-testable (can't substitute fakes), un-swappable (can't change implementations), and harder to configure (deps' config leaks in). DI moves construction <i>out</i> so the class only declares what it needs.<br><br><i>Source: Dependency Injection</i>",phase-1 dependency-injection solid fundamentals topic-dependency-injection diff-medium
Q2: DI vs Service Locator — both let you swap implementations?,"DI: dependencies appear in the class's constructor signature — visible. Service Locator: the class asks a global registry, hiding the dependency. Visibility matters: with DI you can read a class and immediately know its surface area. Service Locator makes refactoring and testing harder.<br><br><i>Source: Dependency Injection</i>",phase-1 dependency-injection solid fundamentals topic-dependency-injection diff-medium
Q3: Why is constructor injection preferred over setter injection?,"Constructor injection makes dependencies <i>required</i> — the object can't exist in an invalid state. Setter injection allows half-built objects (<code>new Foo(); foo.set_db(...) — oops, forgot one</code>). Constructor also makes the dependency list explicit in one place.<br><br><i>Source: Dependency Injection</i>",phase-1 dependency-injection solid fundamentals topic-dependency-injection diff-medium
